1.000000000000000000e+00,9.999777078628540039e-01,4.588980562734989999e-13,1.000000000000000000e+00
1.000000000000000000e+00,9.999996423721313477e-01,1.914257381080419762e-12,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,9.995237588882446289e-01,1.188634005063675947e-01
1.000000000000000000e+00,9.999990463256835938e-01,9.333878755569458008e-01,1.187566698883972538e-01
1.000000000000000000e+00,9.999911785125732422e-01,8.985888361930847168e-01,1.186963480237988033e-01
1.000000000000000000e+00,9.999973773956298828e-01,8.954066038131713867e-01,1.186906519081808858e-01
1.000000000000000000e+00,9.999998807907104492e-01,8.348376154899597168e-01,1.185764582063211919e-01
1.000000000000000000e+00,1.000000000000000000e+00,4.675621986389160156e-01,1.176095112852846153e-01
1.000000000000000000e+00,1.000000000000000000e+00,3.727052807807922363e-01,1.173434912354576753e-01
1.000000000000000000e+00,1.000000000000000000e+00,4.326145350933074951e-02,2.101404737470041473e-01
1.000000000000000000e+00,1.000000000000000000e+00,3.211640194058418274e-02,2.749194416378886174e-01
9.828678369522094727e-01,9.532094001770019531e-01,1.618205606937408447e-01,2.629475517114193139e-01
1.079562702216207981e-03,4.769986122846603394e-02,7.523753046989440918e-01,1.744741383059182638e-01
9.968806505203247070e-01,9.884347915649414062e-01,6.988289952278137207e-02,1.808056436761545371e-01
9.972466230392456055e-01,9.881389737129211426e-01,7.959460467100143433e-02,1.727729990542647975e-01
